Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
20-Nov-24,PHI,111,MEM,117,W,4.5,W,226.5,O
19-Nov-24,DEN,122,MEM,110,L,-6,L,223.5,O
17-Nov-24,DEN,90,MEM,105,W,-6,W,228.5,U
15-Nov-24,MEM,118,GS,123,L,-7,W,236.5,O
13-Nov-24,MEM,123,LAL,128,L,-7.5,W,233,O
10-Nov-24,MEM,134,POR,89,W,1,W,226.5,U
6-Nov-24,LAL,114,MEM,131,W,-4,W,233,O
4-Nov-24,MEM,104,BKN,106,L,4.5,L,223.5,U
2-Nov-24,MEM,124,PHI,107,W,-1,W,223,O
29-Nov-24,TOR,111,MIA,121,W,-8,W,219.5,O
27-Nov-24,MIA,98,CHR,94,W,4.5,L,218.5,U
26-Nov-24,MIL,106,MIA,103,L,-6,L,222.5,U
24-Nov-24,DAL,118,MIA,123,W,-3,W,221.5,O
18-Nov-24,PHI,89,MIA,106,W,-2.5,W,212,U
17-Nov-24,MIA,110,IND,119,L,-3.5,L,228,O
15-Nov-24,MIA,124,IND,111,W,-4.5,W,228.5,O
12-Nov-24,MIA,121,DET,123,L,1.5,L,214.5,O
10-Nov-24,MIA,95,MIN,94,W,-7.5,W,219,U
6-Nov-24,MIA,112,PHO,115,L,-5,W,222.5,O
4-Nov-24,SAC,111,MIA,110,L,-1,L,224.5,U
2-Nov-24,MIA,118,WAS,98,W,9.5,W,224.5,U
30-Oct-24,NY,116,MIA,107,L,1.5,L,214.5,O
28-Oct-24,DET,98,MIA,106,W,-8.5,L,219.5,U
26-Oct-24,MIA,114,CHR,106,W,6,W,222.5,U
23-Oct-24,ORL,116,MIA,97,L,-2,L,208,O
31-Oct-24,MIL,99,MEM,122,L,6.5,L,230.5,U
28-Oct-24,MIL,108,BOS,119,L,-9,L,231.5,U
27-Oct-24,MIL,102,BKN,115,L,8.5,L,227.5,U
25-Oct-24,CHI,133,MIL,122,L,-9.5,L,234.5,O
23-Oct-24,MIL,124,PHI,109,W,4,W,222.5,O
30-Nov-24,WAS,114,MIL,124,W,-14.5,L,229.5,O
26-Nov-24,MIL,106,MIA,103,W,-6,W,222.5,U
23-Nov-24,CHR,119,MIL,125,W,-7.5,L,224,O
22-Nov-24,IND,117,MIL,129,W,-5.5,W,235.5,O
20-Nov-24,CHI,106,MIL,122,W,-8.5,W,239.5,U
18-Nov-24,HOU,100,MIL,101,W,-3.5,L,225,U
16-Nov-24,MIL,114,CHR,115,L,3.5,L,220,O
13-Nov-24,DET,120,MIL,127,W,-7,P,213.5,O
12-Nov-24,TOR,85,MIL,99,W,-9,W,225.5,U
10-Nov-24,BOS,113,MIL,107,L,5,L,230,U
7-Nov-24,UTA,100,MIL,123,W,-10,W,232,U
4-Nov-24,MIL,114,CLE,116,L,-8.5,W,228.5,O
2-Nov-24,CLE,114,MIL,113,L,-2,L,230.5,U
29-Nov-24,LAC,92,MIN,93,W,-6.5,L,212.5,U
27-Nov-24,SAC,115,MIN,104,L,-3.5,L,219.5,U
26-Nov-24,HOU,117,MIN,111,L,-2.5,L,220,O
24-Nov-24,MIN,105,BOS,107,L,-8.5,W,222.5,U
21-Nov-24,MIN,105,TOR,110,L,7,L,225.5,U
17-Nov-24,PHO,117,MIN,120,W,-7.5,L,218.5,O
15-Nov-24,MIN,130,SAC,126,W,1.5,W,222,O
13-Nov-24,MIN,98,POR,106,L,10,L,220.5,U
12-Nov-24,MIN,108,POR,122,L,9.5,L,221.5,O
10-Nov-24,MIA,95,MIN,94,L,-7.5,L,219,U
7-Nov-24,MIN,135,CHI,119,W,9.5,W,226.5,O
4-Nov-24,CHR,93,MIN,114,W,-10.5,W,225.5,U
2-Nov-24,MIN,103,SAN,113,L,3.5,L,214.5,O
1-Nov-24,DEN,116,MIN,119,W,-3.5,L,219,O
29-Oct-24,DAL,120,MIN,114,L,-4.5,L,220.5,O
26-Oct-24,TOR,101,MIN,112,W,-14.5,L,219,U
24-Oct-24,MIN,117,SAC,115,W,1,W,222,O
22-Oct-24,MIN,103,LAL,110,L,1,L,223.5,U
30-Oct-24,NOP,89,GS,104,L,-3.5,L,219.5,U
29-Oct-24,NOP,106,GS,124,L,1.5,L,217.5,O
27-Oct-24,NOP,103,POR,125,L,6.5,L,221,O
25-Oct-24,NOP,105,POR,103,W,6.5,L,219.5,U
23-Oct-24,CHI,111,NOP,123,W,-5,W,225.5,O
29-Nov-24,NOP,109,MEM,120,L,-11.5,W,232,U
27-Nov-24,TOR,119,NOP,93,L,-1,L,221.5,U
25-Nov-24,NOP,110,IND,114,L,-7.5,W,227,U
22-Nov-24,GS,112,NOP,108,L,10.5,W,221.5,U
20-Nov-24,NOP,100,CLE,128,L,-14.5,L,217.5,O
19-Nov-24,NOP,91,DAL,132,L,-13,L,222.5,O
16-Nov-24,LAL,104,NOP,99,L,8,W,220.5,U
15-Nov-24,DEN,94,NOP,101,W,2,W,217.5,U
13-Nov-24,NOP,88,OKC,106,L,-14.5,L,224.5,U
11-Nov-24,BKN,107,NOP,105,L,1.5,L,209.5,O
6-Nov-24,CLE,131,NOP,122,L,6.5,L,225,O
4-Nov-24,POR,118,NOP,100,L,-1,L,218,P
3-Nov-24,ATL,126,NOP,111,L,1.5,L,225,O
1-Nov-24,IND,118,NOP,125,W,4.5,W,232,O
29-Nov-24,NY,99,CHR,98,W,12.5,L,220,U
27-Nov-24,NY,114,DAL,129,L,4.5,L,232,O
25-Nov-24,NY,145,DEN,118,W,-2,W,233.5,O
23-Nov-24,NY,106,UTA,121,L,8.5,L,233.5,U
20-Nov-24,NY,138,PHO,122,W,4.5,W,227,O
18-Nov-24,WAS,106,NY,134,W,-14.5,W,233,O
17-Nov-24,BKN,104,NY,114,W,-10,P,221,U
15-Nov-24,BKN,122,NY,124,W,-8.5,L,214.5,O
13-Nov-24,CHI,124,NY,123,L,-8.5,L,232.5,O
12-Nov-24,NY,111,PHI,99,W,3.5,W,212.5,U
10-Nov-24,NY,121,IND,132,L,3,L,229.5,O
6-Nov-24,NY,116,ATL,121,L,7,L,227,O
4-Nov-24,NY,97,HOU,109,L,2,L,217.5,U
1-Nov-24,NY,128,DET,98,W,6.5,W,218.5,O
30-Oct-24,NY,116,MIA,107,W,1.5,W,214.5,O
28-Oct-24,CLE,110,NY,104,L,-3,L,222.5,U
25-Oct-24,IND,98,NY,123,W,-4.5,W,229,U
22-Oct-24,NY,109,BOS,132,L,-6,L,221.5,O
30-Oct-24,SAN,93,OKC,105,W,-12.5,L,220.5,U
27-Oct-24,ATL,104,OKC,128,W,-10.5,W,230.5,O
26-Oct-24,OKC,114,CHI,95,W,9.5,W,231.5,U
24-Oct-24,OKC,102,DEN,87,W,-2,W,228.5,U
29-Nov-24,OKC,101,LAL,93,W,3,W,229.5,U
27-Nov-24,OKC,105,GS,101,W,4.5,L,224.5,U
25-Nov-24,OKC,130,SAC,109,W,3.5,W,225,O
20-Nov-24,POR,99,OKC,109,W,-12.5,L,222.5,U
19-Nov-24,OKC,104,SAN,110,L,9.5,L,222.5,U
17-Nov-24,DAL,121,OKC,119,L,-7.5,L,226,O
15-Nov-24,PHO,83,OKC,99,W,-7.5,W,228,U
13-Nov-24,NOP,88,OKC,106,W,-14.5,W,224.5,U
11-Nov-24,LAC,128,OKC,134,W,-6.5,L,218.5,O
10-Nov-24,GS,127,OKC,116,L,-6.5,L,227.5,O
6-Nov-24,OKC,122,DEN,124,L,7,L,224.5,O
4-Nov-24,ORL,86,OKC,102,W,-12.5,W,217.5,U
2-Nov-24,OKC,105,LAC,92,W,5.5,W,220.5,U
1-Nov-24,OKC,137,POR,114,W,11.5,W,220.5,O
29-Nov-24,ORL,123,BKN,100,W,7.5,W,207.5,O
27-Nov-24,CHI,119,ORL,133,W,-9.5,W,224.5,O
25-Nov-24,ORL,95,CHR,84,W,4.5,W,212.5,U
23-Nov-24,DET,100,ORL,111,W,-9.5,W,206.5,O
21-Nov-24,ORL,119,LAL,118,W,-5.5,W,216.5,O
20-Nov-24,ORL,93,LAC,104,L,3.5,L,205,U
18-Nov-24,ORL,109,PHO,99,W,4.5,W,211.5,U
15-Nov-24,PHI,86,ORL,98,W,-2.5,W,208.5,U
13-Nov-24,IND,90,ORL,94,W,-1,W,224.5,U
12-Nov-24,CHR,89,ORL,114,W,-9,W,212.5,U
10-Nov-24,WAS,94,ORL,121,W,-11.5,W,222.5,U
6-Nov-24,ORL,111,IND,118,L,-5.5,L,226.5,O
4-Nov-24,ORL,86,OKC,102,L,-12.5,L,217.5,U
3-Nov-24,ORL,85,DAL,108,L,-6.5,L,220,U
1-Nov-24,ORL,109,CLE,120,L,-7,L,216.5,O
30-Oct-24,ORL,99,CHI,102,L,5.5,L,227.5,U
28-Oct-24,IND,115,ORL,119,W,-5.5,L,225.5,O
26-Oct-24,ORL,111,MEM,124,L,-1,L,221.5,O
25-Oct-24,BKN,101,ORL,116,W,-11.5,W,214.5,O
23-Oct-24,ORL,116,MIA,97,W,-2,W,208,O
30-Oct-24,DET,105,PHI,95,L,-4,L,219.5,U
27-Oct-24,PHI,118,IND,114,W,-8.5,W,228.5,O
25-Oct-24,PHI,107,TOR,115,L,5,L,220,O
23-Oct-24,MIL,124,PHI,109,L,4,L,222.5,O
30-Nov-24,PHI,111,DET,96,W,1.5,W,215.5,U
27-Nov-24,HOU,122,PHI,115,L,5.5,L,219.5,O
24-Nov-24,LAC,125,PHI,99,L,1.5,L,210.5,O
22-Nov-24,BKN,98,PHI,113,W,-3,W,214.5,U
20-Nov-24,PHI,111,MEM,117,L,4.5,L,226.5,O
18-Nov-24,PHI,89,MIA,106,L,-2.5,L,212,U
15-Nov-24,PHI,86,ORL,98,L,-2.5,L,208.5,U
13-Nov-24,CLE,114,PHI,106,L,11.5,W,218.5,O
12-Nov-24,NY,111,PHI,99,L,3.5,L,212.5,U
10-Nov-24,CHR,105,PHI,107,W,-4.5,L,212.5,U
6-Nov-24,PHI,98,LAC,110,L,-1.5,L,215,U
4-Nov-24,PHI,116,PHO,118,L,-7.5,W,222.5,O
2-Nov-24,MEM,124,PHI,107,L,-1,L,223,O
30-Nov-24,GS,105,PHO,113,W,-1,W,234.5,U
27-Nov-24,BKN,127,PHO,117,L,-9.5,L,220,O
26-Nov-24,LAL,100,PHO,127,W,-2.5,W,234.5,U
20-Nov-24,NY,138,PHO,122,L,4.5,L,227,O
18-Nov-24,ORL,109,PHO,99,L,4.5,L,211.5,U
17-Nov-24,PHO,117,MIN,120,L,-7.5,W,218.5,O
15-Nov-24,PHO,83,OKC,99,L,-7.5,L,228,U
13-Nov-24,PHO,104,SAC,127,L,-8,L,226.5,O
12-Nov-24,PHO,120,UTA,112,W,5.5,W,228.5,O
10-Nov-24,SAC,127,PHO,118,L,1,L,229.5,O
6-Nov-24,MIA,112,PHO,115,W,-5,L,222.5,O
4-Nov-24,PHI,116,PHO,118,W,-7.5,L,222.5,O
2-Nov-24,POR,97,PHO,103,W,-12.5,L,228.5,U
31-Oct-24,PHO,125,LAC,119,W,4.5,W,220,O
28-Oct-24,LAL,105,PHO,109,W,-4.5,L,229.5,U
26-Oct-24,DAL,102,PHO,114,W,3.5,W,229.5,U
25-Oct-24,PHO,116,LAL,123,L,-1.5,L,227.5,O
23-Oct-24,PHO,116,LAC,113,W,5,L,224.5,O
30-Oct-24,POR,106,LAC,105,W,-8,W,219,U
28-Oct-24,POR,98,SAC,111,L,-12.5,L,231,U
27-Oct-24,NOP,103,POR,125,W,6.5,W,221,O
25-Oct-24,NOP,105,POR,103,L,6.5,W,219.5,U
23-Oct-24,GS,140,POR,104,L,7.5,L,221.5,O
29-Nov-24,SAC,106,POR,115,W,7.5,W,225,U
27-Nov-24,POR,114,IND,121,L,-9.5,W,231.5,O
25-Nov-24,POR,98,MEM,123,L,-10.5,L,233.5,U
23-Nov-24,POR,104,HOU,98,W,-12.5,W,226,U
22-Nov-24,POR,88,HOU,116,L,-11.5,L,226.5,U
20-Nov-24,POR,99,OKC,109,L,-12.5,W,222.5,U
17-Nov-24,ATL,110,POR,114,W,4,W,231,U
13-Nov-24,MIN,98,POR,106,W,10,W,220.5,U
12-Nov-24,MIN,108,POR,122,W,9.5,W,221.5,O
10-Nov-24,MEM,134,POR,89,L,1,L,226.5,U
7-Nov-24,POR,105,SAN,118,L,-4,L,217.5,O
4-Nov-24,POR,118,NOP,100,W,-1,W,218,P
2-Nov-24,POR,97,PHO,103,L,-12.5,W,228.5,U
1-Nov-24,OKC,137,POR,114,L,11.5,L,220.5,O
29-Nov-24,SAC,106,POR,115,L,7.5,L,225,U
27-Nov-24,SAC,115,MIN,104,W,-3.5,W,219.5,U
25-Nov-24,OKC,130,SAC,109,L,3.5,L,225,O
24-Nov-24,BKN,108,SAC,103,L,-10.5,L,223,U
22-Nov-24,SAC,88,LAC,104,L,4,L,217.5,U
18-Nov-24,ATL,109,SAC,108,L,-4,L,235.5,U
16-Nov-24,UTA,117,SAC,121,W,-7,L,228,O
15-Nov-24,MIN,130,SAC,126,L,1.5,L,222,O
13-Nov-24,PHO,104,SAC,127,W,-8,W,226.5,O
11-Nov-24,SAC,96,SAN,116,L,2.5,L,222.5,U
10-Nov-24,SAC,127,PHO,118,W,1,W,229.5,O
6-Nov-24,TOR,107,SAC,122,W,-11.5,W,237.5,U
4-Nov-24,SAC,111,MIA,110,W,-1,W,224.5,U
2-Nov-24,SAC,128,TOR,131,L,9.5,L,235.5,O
1-Nov-24,SAC,123,ATL,115,W,6,W,235.5,O
29-Oct-24,SAC,113,UTA,96,W,6.5,W,234.5,U
28-Oct-24,POR,98,SAC,111,W,-12.5,W,231,U
26-Oct-24,SAC,127,LAL,131,L,-1,L,230.5,O
24-Oct-24,MIN,117,SAC,115,L,1,L,222,O
31-Oct-24,SAN,106,UTA,88,W,2.5,W,220.5,U
30-Oct-24,SAN,93,OKC,105,L,-12.5,W,220.5,U
28-Oct-24,HOU,106,SAN,101,L,2.5,L,220,U
26-Oct-24,HOU,106,SAN,109,W,1.5,W,222.5,U
24-Oct-24,SAN,109,DAL,120,L,-8.5,L,227,O
27-Nov-24,LAL,119,SAN,101,L,2,L,228,U
26-Nov-24,SAN,128,UTA,115,W,2,W,225,O
23-Nov-24,GS,94,SAN,104,W,3.5,W,229.5,U
21-Nov-24,UTA,118,SAN,126,W,-3,W,224,O
19-Nov-24,OKC,104,SAN,110,W,9.5,W,222.5,U
16-Nov-24,SAN,93,DAL,110,L,-13.5,L,229,U
15-Nov-24,LAL,120,SAN,115,L,2.5,L,228,O
13-Nov-24,WAS,130,SAN,139,W,-9.5,L,224.5,O
11-Nov-24,SAC,96,SAN,116,W,2.5,W,222.5,U
9-Nov-24,UTA,111,SAN,110,L,-6.5,L,221.5,U
7-Nov-24,POR,105,SAN,118,W,-4,W,217.5,O
6-Nov-24,SAN,100,HOU,127,L,-6.5,L,215.5,O
4-Nov-24,SAN,104,LAC,113,L,-4,L,215,O
2-Nov-24,MIN,103,SAN,113,W,3.5,W,214.5,O
29-Nov-24,TOR,111,MIA,121,L,-8,L,219.5,O
27-Nov-24,TOR,119,NOP,93,W,-1,W,221.5,U
25-Nov-24,TOR,100,DET,102,L,-4,W,220.5,U
24-Nov-24,TOR,108,CLE,122,L,-11.5,L,233.5,U
21-Nov-24,MIN,105,TOR,110,W,7,W,225.5,U
18-Nov-24,IND,119,TOR,130,W,3.5,W,236.5,O
16-Nov-24,TOR,123,BOS,126,L,-16.5,W,230.5,O
15-Nov-24,DET,99,TOR,95,L,2.5,L,225,U
12-Nov-24,TOR,85,MIL,99,L,-9,L,225.5,U
10-Nov-24,TOR,103,LAL,123,L,-10.5,L,235.5,U
9-Nov-24,TOR,103,LAC,105,L,-6,W,226.5,U
6-Nov-24,TOR,107,SAC,122,L,-11.5,L,237.5,U
4-Nov-24,TOR,119,DEN,121,L,-11,W,231.5,O
2-Nov-24,SAC,128,TOR,131,W,9.5,W,235.5,O
1-Nov-24,LAL,131,TOR,125,L,9,W,232.5,O
30-Oct-24,TOR,133,CHR,138,L,-6.5,W,224.5,O
28-Oct-24,DEN,127,TOR,125,L,8.5,W,223.5,O
26-Oct-24,TOR,101,MIN,112,L,-14.5,W,219,U
25-Oct-24,PHI,107,TOR,115,W,5,W,220,O
23-Oct-24,CLE,136,TOR,106,L,6.5,L,225,O
31-Oct-24,SAN,106,UTA,88,L,2.5,L,220.5,U
29-Oct-24,SAC,113,UTA,96,L,6.5,L,234.5,U
28-Oct-24,UTA,102,DAL,110,L,-11.5,W,232,U
25-Oct-24,GS,127,UTA,86,L,6.5,L,234.5,U
23-Oct-24,MEM,126,UTA,124,L,2.5,W,229.5,O
30-Nov-24,DAL,106,UTA,94,L,6.5,L,229.5,U
27-Nov-24,DEN,122,UTA,103,L,10.5,L,228.5,U
26-Nov-24,SAN,128,UTA,115,L,2,L,225,O
23-Nov-24,NY,106,UTA,121,W,8.5,W,233.5,U
21-Nov-24,UTA,118,SAN,126,L,-3,L,224,O
19-Nov-24,UTA,118,LAL,124,L,-10.5,W,234,O
17-Nov-24,UTA,105,LAC,116,L,-9.5,L,221.5,U
16-Nov-24,UTA,117,SAC,121,L,-7,W,228,O
14-Nov-24,DAL,113,UTA,115,W,7.5,W,230,U
12-Nov-24,PHO,120,UTA,112,L,5.5,L,228.5,O
9-Nov-24,UTA,111,SAN,110,W,-6.5,W,221.5,U
7-Nov-24,UTA,100,MIL,123,L,-10,L,232,U
4-Nov-24,UTA,135,CHI,126,W,-7.5,W,229.5,O
2-Nov-24,UTA,103,DEN,129,L,-11,L,220.5,O
30-Nov-24,WAS,114,MIL,124,L,-14.5,W,229.5,O
27-Nov-24,LAC,121,WAS,96,L,9,L,225.5,U
26-Nov-24,CHI,127,WAS,108,L,5.5,L,244.5,U
24-Nov-24,WAS,103,IND,115,L,-12,P,240.5,U
22-Nov-24,BOS,108,WAS,96,L,15.5,W,238,U
18-Nov-24,WAS,106,NY,134,L,-14.5,L,233,O
17-Nov-24,DET,124,WAS,104,L,5,L,231.5,U
15-Nov-24,WAS,117,ATL,129,L,-9.5,L,241.5,O
13-Nov-24,WAS,130,SAN,139,L,-9.5,W,224.5,O
11-Nov-24,WAS,92,HOU,107,L,-12,L,231,U
10-Nov-24,WAS,94,ORL,121,L,-11.5,L,222.5,U
4-Nov-24,GS,125,WAS,112,L,11,L,233.5,O
2-Nov-24,MIA,118,WAS,98,L,9.5,L,224.5,U
30-Oct-24,ATL,120,WAS,133,W,5.5,W,233.5,O
28-Oct-24,WAS,121,ATL,119,W,-7.5,W,235,O
26-Oct-24,CLE,135,WAS,116,L,9.5,L,227.5,O
24-Oct-24,BOS,122,WAS,102,L,14,L,231,U
